affected features window 50000:

Feature: 3_78950000_79000000, score: 0.953488372093
Feature: X_86550000_86600000, score: 0.953488372093
Feature: X_89750000_89800000, score: 0.953488372093
Feature: X_93700000_93750000, score: 0.953488372093


affected features window 10000:

Feature: X_137580000_137590000, score: 0.953488372093
Feature: X_88510000_88520000, score: 0.953488372093
Feature: X_142280000_142290000, score: 0.953488372093
Feature: 8_14560000_14570000, score: 0.953488372093
Feature: X_126160000_126170000, score: 0.953488372093
Feature: X_121330000_121340000, score: 0.953488372093
Feature: X_124940000_124950000, score: 0.953488372093
Feature: X_120860000_120870000, score: 0.953488372093
Feature: X_90680000_90690000, score: 0.953488372093
Feature: X_72880000_72890000, score: 0.953488372093
Feature: 11_16400000_16410000, score: 0.953488372093
Feature: X_75320000_75330000, score: 0.953488372093
Feature: X_137330000_137340000, score: 0.953488372093
Feature: X_131400000_131410000, score: 0.953488372093
Feature: X_83350000_83360000, score: 0.953488372093
Feature: 8_4850000_4860000, score: 0.953488372093
Feature: X_75660000_75670000, score: 0.953488372093
Feature: X_93420000_93430000, score: 0.953488372093
Feature: X_84790000_84800000, score: 0.953488372093
Feature: 1_174050000_174060000, score: 0.953488372093
Feature: X_92250000_92260000, score: 0.953488372093
Feature: 8_32480000_32490000, score: 0.953488372093
Feature: X_92120000_92130000, score: 0.953488372093
Feature: 8_16440000_16450000, score: 0.953488372093
Feature: 8_17730000_17740000, score: 0.953488372093
Feature: 1_167850000_167860000, score: 0.96511627907
Feature: 21_22460000_22470000, score: 0.953488372093
Feature: X_33270000_33280000, score: 0.953488372093
Feature: X_82600000_82610000, score: 0.953488372093
Feature: 1_182470000_182480000, score: 0.953488372093
Feature: 20_31310000_31320000, score: 0.953488372093
Feature: X_88200000_88210000, score: 0.953488372093
Feature: 3_78730000_78740000, score: 0.953488372093
Feature: 9_28190000_28200000, score: 0.953488372093
Feature: 8_13080000_13090000, score: 0.96511627907
Feature: X_117130000_117140000, score: 0.953488372093
Feature: X_88850000_88860000, score: 0.953488372093
Feature: 8_16170000_16180000, score: 0.953488372093
Feature: X_26310000_26320000, score: 0.953488372093
Feature: 7_142780000_142790000, score: 0.953488372093
Feature: 8_13420000_13430000, score: 0.953488372093
Feature: X_100510000_100520000, score: 0.953488372093
Feature: X_92300000_92310000, score: 0.953488372093
Feature: X_91020000_91030000, score: 0.953488372093
Feature: X_113900000_113910000, score: 0.96511627907
Feature: 8_19090000_19100000, score: 0.953488372093
Feature: X_128610000_128620000, score: 0.953488372093
Feature: X_90370000_90380000, score: 0.953488372093
Feature: 1_146030000_146040000, score: 0.953488372093
Feature: X_81660000_81670000, score: 0.953488372093
Feature: X_76280000_76290000, score: 0.953488372093
Feature: X_115030000_115040000, score: 0.953488372093
Feature: 8_13720000_13730000, score: 0.96511627907
Feature: X_76330000_76340000, score: 0.953488372093
Feature: 8_14570000_14580000, score: 0.96511627907
Feature: X_92490000_92500000, score: 0.953488372093
Feature: X_114500000_114510000, score: 0.953488372093
Feature: X_79290000_79300000, score: 0.953488372093
Feature: X_143180000_143190000, score: 0.953488372093
Feature: 8_16940000_16950000, score: 0.953488372093
Feature: 8_15470000_15480000, score: 0.976744186047
Feature: 8_25900000_25910000, score: 0.953488372093
Feature: X_123290000_123300000, score: 0.953488372093
Feature: 8_14330000_14340000, score: 0.96511627907
Feature: X_116480000_116490000, score: 0.953488372093
Feature: 3_79050000_79060000, score: 0.953488372093
Feature: 8_14710000_14720000, score: 0.953488372093
Feature: 8_17010000_17020000, score: 0.96511627907
Feature: X_90690000_90700000, score: 0.96511627907
Feature: X_88340000_88350000, score: 0.953488372093
Feature: X_97500000_97510000, score: 0.953488372093
Feature: X_81680000_81690000, score: 0.953488372093
Feature: X_92650000_92660000, score: 0.953488372093
Feature: 1_150380000_150390000, score: 0.953488372093
Feature: X_34550000_34560000, score: 0.953488372093
Feature: X_55560000_55570000, score: 0.953488372093
Feature: 7_157240000_157250000, score: 0.953488372093
Feature: 8_14440000_14450000, score: 0.953488372093
Feature: X_88860000_88870000, score: 0.96511627907
Feature: 8_13070000_13080000, score: 0.988372093023
Feature: X_120980000_120990000, score: 0.953488372093
Feature: X_115820000_115830000, score: 0.953488372093
Feature: 8_15080000_15090000, score: 0.953488372093
Feature: 16_55560000_55570000, score: 0.953488372093
Feature: 8_11050000_11060000, score: 0.953488372093
Feature: X_33630000_33640000, score: 0.953488372093
Feature: X_115630000_115640000, score: 0.953488372093
Feature: 8_14620000_14630000, score: 0.953488372093
Feature: X_126590000_126600000, score: 0.953488372093
Feature: X_91580000_91590000, score: 0.953488372093
Feature: X_137260000_137270000, score: 0.953488372093
Feature: X_126010000_126020000, score: 0.953488372093
Feature: 21_17870000_17880000, score: 0.953488372093
Feature: 8_14210000_14220000, score: 0.953488372093
Feature: 3_78300000_78310000, score: 0.953488372093
Feature: X_139500000_139510000, score: 0.953488372093
Feature: 8_13930000_13940000, score: 0.953488372093
Feature: X_93050000_93060000, score: 0.953488372093
Feature: X_26920000_26930000, score: 0.953488372093
Feature: X_120630000_120640000, score: 0.953488372093
Feature: 8_26000000_26010000, score: 0.953488372093
Feature: X_32400000_32410000, score: 0.953488372093
Feature: 8_32580000_32590000, score: 0.953488372093
Feature: X_82180000_82190000, score: 0.953488372093
Feature: X_97790000_97800000, score: 0.953488372093
Feature: X_88330000_88340000, score: 0.96511627907
Feature: 8_15710000_15720000, score: 0.953488372093
Feature: X_113940000_113950000, score: 0.953488372093
Feature: X_88090000_88100000, score: 0.953488372093
Feature: X_85120000_85130000, score: 0.953488372093
Feature: X_101910000_101920000, score: 0.953488372093
Feature: 21_17490000_17500000, score: 0.953488372093
Feature: 8_19170000_19180000, score: 0.953488372093
Feature: X_112780000_112790000, score: 0.953488372093
Feature: 1_180620000_180630000, score: 0.953488372093
Feature: X_26940000_26950000, score: 0.953488372093
Feature: 8_33680000_33690000, score: 0.953488372093
Feature: 9_25480000_25490000, score: 0.953488372093
Feature: 5_35070000_35080000, score: 0.976744186047
Feature: X_93740000_93750000, score: 0.953488372093
Feature: X_89850000_89860000, score: 0.953488372093
Feature: X_20780000_20790000, score: 0.953488372093
Feature: 11_38370000_38380000, score: 0.953488372093
Feature: X_88260000_88270000, score: 0.953488372093
Feature: 9_25220000_25230000, score: 0.953488372093
Feature: X_73020000_73030000, score: 0.953488372093
Feature: 8_14640000_14650000, score: 0.953488372093
Feature: X_121080000_121090000, score: 0.953488372093
Feature: X_80500000_80510000, score: 0.953488372093
Feature: 8_13170000_13180000, score: 0.953488372093
Feature: X_134380000_134390000, score: 0.953488372093
Feature: 8_14150000_14160000, score: 0.953488372093
Feature: X_82640000_82650000, score: 0.953488372093
Feature: X_93430000_93440000, score: 0.953488372093
Feature: X_27740000_27750000, score: 0.953488372093
Feature: X_86970000_86980000, score: 0.96511627907
Feature: 8_15520000_15530000, score: 0.953488372093
Feature: X_115770000_115780000, score: 0.953488372093
Feature: X_28710000_28720000, score: 0.953488372093
Feature: 21_25770000_25780000, score: 0.953488372093
Feature: X_74540000_74550000, score: 0.953488372093
Feature: 1_145780000_145790000, score: 0.96511627907
Feature: X_121280000_121290000, score: 0.953488372093
Feature: 8_16880000_16890000, score: 0.953488372093
Feature: X_93110000_93120000, score: 0.953488372093
Feature: X_134220000_134230000, score: 0.953488372093
Feature: 8_13790000_13800000, score: 0.96511627907
Feature: X_92080000_92090000, score: 0.953488372093
Feature: X_84130000_84140000, score: 0.953488372093
Feature: X_137140000_137150000, score: 0.96511627907
Feature: 21_20370000_20380000, score: 0.953488372093
Feature: 3_64890000_64900000, score: 0.953488372093
Feature: 8_15740000_15750000, score: 0.953488372093
Feature: X_113960000_113970000, score: 0.953488372093
Feature: 8_180000_190000, score: 0.953488372093
Feature: X_28170000_28180000, score: 0.953488372093
Feature: 1_146230000_146240000, score: 0.953488372093
Feature: X_31520000_31530000, score: 0.953488372093
Feature: 8_13160000_13170000, score: 0.953488372093
Feature: 8_14180000_14190000, score: 0.976744186047
Feature: 9_24590000_24600000, score: 0.953488372093
Feature: X_102330000_102340000, score: 0.953488372093
Feature: 8_17370000_17380000, score: 0.953488372093
Feature: X_93900000_93910000, score: 0.953488372093
Feature: 1_158310000_158320000, score: 0.953488372093
Feature: X_91930000_91940000, score: 0.953488372093
Feature: 8_15090000_15100000, score: 0.953488372093
Feature: 8_25860000_25870000, score: 0.953488372093
Feature: X_126000000_126010000, score: 0.953488372093
Feature: 8_25890000_25900000, score: 0.96511627907
Feature: X_83500000_83510000, score: 0.953488372093
Feature: X_92160000_92170000, score: 0.953488372093
Feature: X_125740000_125750000, score: 0.953488372093
Feature: X_29310000_29320000, score: 0.953488372093
Feature: 8_30900000_30910000, score: 0.953488372093
Feature: 8_13210000_13220000, score: 0.976744186047
Feature: X_89090000_89100000, score: 0.953488372093
Feature: X_111350000_111360000, score: 0.953488372093
Feature: X_89460000_89470000, score: 0.953488372093
Feature: X_117390000_117400000, score: 0.953488372093
Feature: 8_16910000_16920000, score: 0.953488372093
